Freq, Iw(200ps, hann), Iw(100ps, hann), Iw(50ps, hann)
0.000000, 0.856640, 0.842104, 0.722397
6.600000, 0.915298, 0.958473, 0.836834
13.200000, 0.978610, 1.081671, 1.008142
19.800000, 1.004793, 1.045309, 1.074416
26.400000, 1.049945, 1.009418, 1.253256
33.000000, 1.068124, 1.026190, 1.371368
39.600000, 1.079610, 1.074644, 1.335569
46.200000, 1.081552, 1.156682, 1.396058
52.800000, 1.121663, 1.197390, 1.352303
59.400000, 1.235183, 1.271014, 1.268569
66.000000, 1.161426, 1.397589, 1.261689
72.600000, 0.993102, 1.349982, 1.337058
79.200000, 1.055306, 1.237103, 1.434327
85.800000, 1.122629, 1.329724, 1.466419
92.400000, 1.033704, 1.361348, 1.548048
99.000000, 1.108109, 1.184396, 1.563165
105.600000, 1.286009, 1.211032, 1.449828
112.200000, 1.264757, 1.385845, 1.428190
118.800000, 1.228797, 1.489342, 1.471823
125.400000, 1.356066, 1.555832, 1.448304
132.000000, 1.475259, 1.480414, 1.579722
138.600000, 1.376141, 1.342686, 1.750800
145.200000, 1.209571, 1.194760, 1.910385
151.800000, 1.161516, 1.125239, 2.018823
158.400000, 1.128712, 1.243049, 2.041633
165.000000, 1.216119, 1.407364, 2.162671
171.600000, 1.412123, 1.477295, 1.968655
178.200000, 1.424465, 1.400691, 1.696614
184.800000, 1.282225, 1.395212, 1.879204
191.400000, 1.148243, 1.559311, 2.213125
198.000000, 1.197983, 1.580415, 2.477898
204.600000, 1.409959, 1.348905, 2.699655
211.200000, 1.495263, 1.290933, 2.658651
217.800000, 1.449131, 1.517742, 2.617653
224.400000, 1.402326, 1.687608, 2.841561
231.000000, 1.367444, 1.765132, 2.770137
237.600000, 1.392708, 1.756290, 2.425418
244.200000, 1.447058, 1.610862, 2.665655
250.800000, 1.387122, 1.589919, 3.381437
257.400000, 1.407474, 1.992515, 3.306439
264.000000, 1.469702, 2.286861, 3.171952
270.600000, 1.319020, 2.175601, 3.825658
277.200000, 1.347768, 2.014459, 4.015448
283.800000, 1.522507, 1.906187, 3.594302
290.400000, 1.390273, 1.916665, 3.220380
297.000000, 1.162057, 1.978150, 3.070838
303.600000, 1.053852, 1.855144, 3.040229
310.200000, 1.058395, 1.539519, 3.106481
316.800000, 1.223285, 1.467094, 3.678905
323.400000, 1.452623, 1.663383, 4.781996
330.000000, 1.520898, 1.851601, 5.243552
336.600000, 1.498212, 1.834871, 4.755419
343.200000, 1.575614, 1.966023, 4.252556
349.800000, 1.570031, 2.431951, 4.194301
356.400000, 1.529549, 2.556066, 4.848064
363.000000, 1.544787, 2.570811, 5.373058
369.600000, 1.430564, 2.542404, 4.772972
376.200000, 1.261616, 2.329753, 4.224898
382.800000, 1.273118, 2.425848, 4.396446
389.400000, 1.462767, 2.693589, 4.954675
396.000000, 1.549350, 2.820112, 5.574006
402.600000, 1.407908, 2.974878, 5.153906
409.200000, 1.272805, 3.164113, 5.044489
415.800000, 1.228772, 2.916773, 5.911609
422.400000, 1.215260, 2.440585, 5.989942
429.000000, 1.339397, 2.189534, 5.991122
435.600000, 1.504584, 2.318229, 7.176383
442.200000, 1.652123, 3.090990, 8.504847
448.800000, 1.754638, 3.372186, 8.844656
455.400000, 1.732910, 2.789107, 9.690765
462.000000, 1.672161, 2.728940, 10.454525
468.600000, 1.651462, 2.825795, 9.402976
475.200000, 1.788472, 2.740140, 9.447258
481.800000, 1.810096, 2.745058, 10.502298
488.400000, 1.547415, 2.663821, 9.971119
495.000000, 1.316748, 2.728633, 10.300090
501.600000, 1.269664, 2.933948, 11.487556
508.200000, 1.550920, 3.106358, 10.744582
514.800000, 1.990472, 3.255692, 9.701989
521.400000, 2.125316, 3.308522, 10.264046
528.000000, 2.010239, 3.103047, 12.735524
534.600000, 2.043742, 3.225007, 13.644411
541.200000, 2.234259, 3.471950, 12.093931
547.800000, 2.273123, 3.253752, 12.724200
554.400000, 2.064438, 3.313062, 14.617798
561.000000, 1.810697, 3.760376, 13.886282
567.600000, 1.659835, 3.880586, 11.692149
574.200000, 1.704406, 3.667020, 12.482072
580.800000, 1.949538, 3.708977, 13.120355
587.400000, 2.006431, 3.715695, 14.684859
594.000000, 1.962610, 3.442346, 19.440275
600.600000, 2.009526, 3.195450, 19.247102
607.200000, 1.913964, 3.294493, 15.427419
613.800000, 1.660147, 3.789449, 14.075958
620.400000, 1.596725, 4.060761, 15.334400
627.000000, 1.836208, 4.063994, 15.145750
633.600000, 1.987908, 3.749697, 12.575911
640.200000, 2.036001, 3.689718, 11.022445
646.800000, 1.976694, 4.029149, 12.281076
653.400000, 1.860468, 4.382933, 15.245180
660.000000, 2.056307, 4.816029, 15.794019
666.600000, 2.155811, 4.623795, 15.529663
673.200000, 1.922965, 4.890430, 14.986971
679.800000, 1.834123, 5.645522, 13.039152
686.400000, 2.154957, 5.114235, 15.920818
693.000000, 2.735899, 4.449901, 21.662915
699.600000, 2.808120, 4.564295, 20.213358
706.200000, 2.461380, 4.451279, 13.711691
712.800000, 2.081497, 4.757961, 11.671294
719.400000, 1.806615, 5.566290, 13.913664
726.000000, 1.862976, 5.513450, 17.156405
732.600000, 2.216276, 5.010256, 19.456377
739.200000, 2.735790, 4.684121, 15.661063
745.800000, 2.702349, 4.502650, 12.677458
752.400000, 2.348516, 4.890589, 14.701378
759.000000, 2.265695, 5.764210, 14.619638
765.600000, 2.364573, 5.842390, 12.886548
772.200000, 2.504852, 5.047202, 12.068266
778.800000, 2.444854, 4.894232, 12.839363
785.400000, 2.452604, 5.733788, 13.003192
