'freq[cm-1]','tip3p[200ps/hann]', 'spce/qspcfw[200ps/hann]', 'spce/spcfw[200ps/hann]', 'spce[200ps/hann]', 'opc3pol[200ps/hann]'
169.950000,7.842539,1.834128,1.563867,3.649950,1.691719
171.600000,7.333682,2.154940,1.829289,4.157464,1.804742
173.250000,7.186178,2.735856,2.064019,5.276721,2.167937
174.900000,7.072286,2.808041,2.071626,5.872980,2.161530
176.550000,6.873441,2.461318,1.898673,5.565871,1.671604
178.200000,6.330445,2.081509,1.586278,4.260798,1.545996
179.850000,7.016361,1.806646,1.662790,3.159803,1.639946
181.500000,8.844168,1.862982,2.107757,3.955970,1.491736
183.150000,9.058904,2.216290,2.237516,5.333101,1.355029
184.800000,7.782862,2.735797,2.013420,5.586239,1.550944
186.450000,7.622996,2.702329,1.755902,4.836500,1.959988
188.100000,8.232126,2.348509,1.763024,3.924132,2.129872
189.750000,7.766026,2.265716,1.998303,4.206639,2.067548
191.400000,6.743300,2.364589,2.225947,5.250501,2.127268
193.050000,6.924592,2.504860,2.176928,5.086909,2.328245
194.700000,9.479655,2.444872,2.102628,4.875499,2.320576
196.350000,9.581407,2.452626,2.237490,5.041256,2.005768
198.000000,7.957900,2.637135,2.007096,5.269802,1.712486
199.650000,10.249541,2.608052,1.955546,5.681075,1.700321
201.300000,11.613538,2.559258,2.208376,5.129625,1.957340
202.950000,9.663845,2.902894,2.074517,4.284009,2.023678
204.600000,8.292985,3.188438,2.128986,4.525846,1.797434
206.250000,8.398674,3.023855,2.146016,5.307298,1.709780
207.900000,8.980472,2.737776,2.202774,5.802973,1.880187
209.550000,8.949569,2.425395,2.629453,6.346104,2.101502
211.200000,9.683157,2.110023,2.544635,7.078186,2.164103
212.850000,11.301783,2.032369,2.138537,7.395581,2.151109
214.500000,11.256340,2.291290,2.049192,7.285762,2.221052
216.150000,10.587327,2.421029,2.234671,6.898137,2.317064
217.800000,9.785928,2.326839,2.259400,5.449309,2.206381
219.450000,8.064853,2.588866,2.141375,4.703170,2.225162
221.100000,7.253692,2.658713,2.249437,5.502995,2.444124
222.750000,8.350204,2.619579,2.485729,5.668807,2.443291
224.400000,10.549882,3.174730,2.753869,5.704119,2.333918
226.050000,11.293296,3.185425,2.809820,6.311387,1.978461
227.700000,10.144676,2.816120,2.544878,6.237085,2.018224
229.350000,9.381877,2.923639,2.156561,5.900142,2.434082
231.000000,8.208236,3.032889,2.056126,7.109920,2.081980
232.650000,8.294087,3.345065,2.485799,8.567846,1.695744
234.300000,9.682898,3.298683,2.600373,8.692686,1.960539
235.950000,9.668003,2.549852,2.242621,8.783148,2.049045
237.600000,11.227644,2.088825,2.262770,7.895613,1.847080
239.250000,13.737652,2.271684,2.405066,6.749707,2.145836
240.900000,12.940897,3.098726,2.162009,6.856161,2.482010
242.550000,10.363795,3.699365,2.051867,7.312434,2.233406
244.200000,10.155652,3.243978,2.356811,8.856672,2.023524
245.850000,11.382063,3.037119,2.579426,9.341573,1.840803
247.500000,12.883044,3.529214,2.601699,8.261149,1.510179
249.150000,14.006696,3.616976,2.447635,7.817625,1.686371
250.800000,12.848913,3.352246,2.415881,7.304998,2.337985
252.450000,11.805244,3.236729,2.812586,6.712198,2.636941
254.100000,14.722758,3.518766,3.393147,6.550460,2.276087
255.750000,17.419482,3.742735,3.744344,6.469242,1.883993
257.400000,15.496677,3.791371,3.322663,5.326141,1.933911
259.050000,14.621562,4.314397,2.690334,4.970834,2.088089
260.700000,14.723235,4.430549,2.505506,6.995945,2.291549
262.350000,14.558957,3.587887,2.494684,8.200233,2.549172
264.000000,15.509464,3.215859,2.727526,8.321948,2.552165
265.650000,15.397073,3.590674,2.837803,8.392990,2.374825
267.300000,14.897096,3.822047,2.711453,6.770582,2.525147
268.950000,12.577658,3.890730,2.715821,5.158125,2.936245
270.600000,9.852794,3.963227,2.603473,5.739618,2.824468
272.250000,10.006309,3.898584,2.596787,7.330825,2.207202
273.900000,10.289044,3.518851,2.614956,8.495287,1.883201
275.550000,9.103364,2.857296,2.464459,8.436334,2.025433
277.200000,8.461264,2.617612,2.719921,9.176425,2.100127
278.850000,10.182815,3.098605,2.960302,9.499825,1.967183
280.500000,11.787308,3.522504,2.799139,6.827998,2.042841
282.150000,9.493974,3.548331,2.873515,7.617918,2.189167
283.800000,8.393417,3.959544,2.988730,11.230626,2.259856
285.450000,12.302551,4.729698,3.076483,9.590342,2.682140
287.100000,16.374062,4.605390,3.243746,6.436887,3.009809
288.750000,16.673050,4.020341,2.991410,6.236749,2.972074
290.400000,12.599227,4.167348,2.451234,7.614629,2.836311
292.050000,10.321100,4.520038,2.613756,7.299276,2.451313
293.700000,13.234766,4.505395,3.161102,5.602563,2.270749
295.350000,14.501743,4.085145,2.887930,7.011372,2.465575
297.000000,12.904153,3.489350,2.722531,8.743619,2.279295
298.650000,13.063953,3.288859,2.894003,8.268422,2.032313
300.300000,13.048737,3.391011,2.678454,7.516439,2.175575
301.950000,12.730166,3.663343,2.596271,8.637613,2.213097
303.600000,12.892776,3.714234,2.679269,10.225059,2.232480
305.250000,11.178572,3.631358,2.595093,8.986293,2.391082
306.900000,10.936432,4.125722,3.104352,8.632303,2.522492
308.550000,14.715479,4.582082,3.773832,9.803409,2.773082
310.200000,16.894732,4.340909,3.676042,9.681773,3.139254
311.850000,15.751075,4.264501,3.934712,9.654407,3.283901
313.500000,16.749674,4.612269,4.154309,9.718841,3.004402
315.150000,17.201256,4.213538,3.726902,8.889412,2.615141
316.800000,16.000495,3.757803,3.424669,8.516208,2.615075
318.450000,15.652778,4.063985,3.319287,9.498406,2.760165
320.100000,13.562955,3.974033,3.339686,10.660812,2.648095
321.750000,11.729520,3.531589,3.516672,10.627862,2.373917
323.400000,12.549936,3.552972,3.668371,9.598972,2.236810
325.050000,14.018588,3.942659,3.627884,9.605794,2.210361
326.700000,14.857266,4.253188,3.690409,9.765026,2.181241
328.350000,16.370713,4.876399,3.775590,9.248414,2.105557
330.000000,16.773059,5.251266,3.527271,9.721274,2.221223
331.650000,15.210461,4.495345,3.439062,10.603659,2.566974
333.300000,14.519964,4.201562,3.624543,10.959082,2.506431
334.950000,14.680756,4.434518,3.400657,11.062763,2.474537
336.600000,14.519164,3.916701,3.376443,10.135542,2.906489
338.250000,14.073610,4.016539,3.841163,9.250036,3.002015
339.900000,13.788706,5.152233,4.373918,10.363274,2.683175
341.550000,14.076912,5.489046,4.542775,11.235352,2.747211
343.200000,16.128120,5.511388,3.830434,9.695386,3.108619
344.850000,19.617658,5.394700,3.479109,9.168091,3.235091
346.500000,22.113913,4.745088,3.907069,11.634106,3.069940
348.150000,23.747090,4.867316,4.520326,12.923255,2.976617
349.800000,23.327059,5.428696,4.852836,12.697334,3.496508
351.450000,19.658962,5.411274,4.321302,11.939463,3.820119
353.100000,17.770695,5.316090,3.561753,13.129636,2.921282
354.750000,16.377032,5.502860,3.584503,16.387559,2.131554
356.400000,14.036413,4.916474,4.280651,15.105609,2.435265
358.050000,14.612384,4.148095,4.648386,12.694494,2.854957
359.700000,16.764142,4.818847,4.432292,13.078843,2.957148
361.350000,19.539778,5.313297,4.300818,11.709286,2.835096
363.000000,20.272917,5.418294,4.544263,10.005026,3.032089
364.650000,18.572061,6.033207,4.332442,10.956609,3.359761
366.300000,16.033158,5.875476,3.750952,11.639485,3.092128
367.950000,14.960030,5.516675,3.715851,12.423754,3.117265
369.600000,19.613490,5.560493,4.320575,12.758659,3.174838
371.250000,21.433747,6.011368,4.926777,11.893094,2.870322
372.900000,17.101365,5.820780,4.968165,13.658817,3.252822
374.550000,17.778117,4.853162,4.910402,15.032383,3.782844
376.200000,20.093208,4.533846,4.758572,15.032702,3.647918
377.850000,16.967395,5.366117,4.582388,16.132588,3.194945
379.500000,16.907624,6.333728,4.787399,14.696623,3.079810
381.150000,20.446429,5.436030,5.058067,11.375560,3.229276
382.800000,21.100552,4.806170,4.856879,11.447749,3.118876
384.450000,19.806711,5.232294,4.480963,13.409861,3.008570
386.100000,17.847141,5.453102,4.616453,12.513631,3.008749
387.750000,18.226035,5.731278,4.880104,11.852986,3.068533
389.400000,20.268056,6.005340,4.701624,12.669758,3.339589
391.050000,19.428204,6.124684,4.212156,12.795039,3.826202
392.700000,19.378391,5.522834,4.203130,15.407603,4.266635
394.350000,19.522861,4.834787,4.583893,18.907184,3.751340
396.000000,17.125583,5.240948,4.508419,18.168558,3.210424
397.650000,17.491319,5.998529,4.713286,15.428117,3.645258
399.300000,19.249560,6.194275,5.089961,14.839537,3.637294
400.950000,20.296088,6.577594,4.909279,12.938951,3.436184
402.600000,21.485914,7.175774,4.577012,12.177611,3.729286
404.250000,18.838158,7.684401,4.119325,14.727666,3.780942
405.900000,15.427298,7.982293,4.281857,15.480998,3.392464
407.550000,17.554791,7.333081,4.573243,15.521097,3.171891
409.200000,22.345846,6.157039,4.577670,16.647894,3.129938
410.850000,24.841248,6.317046,4.517187,18.347552,2.907696
412.500000,23.275606,7.892318,3.787053,18.079421,3.043510
414.150000,24.403720,7.473378,3.491301,17.653578,3.534989
415.800000,27.738471,5.237485,4.422061,18.743023,3.735141
417.450000,26.969214,5.628615,5.761539,19.022510,3.845341
419.100000,25.544314,6.995347,5.783605,16.453392,4.088145
