'freq[cm-1]','tip3p[200ps/hann/30]', 'spce/qspcfw[200ps/hann/30]', 'spce/spcfw[200ps/hann/30]', 'spce[200ps/hann/30]', 'opc3pol[200ps/hann/30]', 'pbe[45ps/hann/30]'
88.000000,182.789706,56.113883,49.618408,112.531050,46.731822,9.708510
89.000000,183.591652,56.317087,49.841777,113.078594,46.914228,9.728059
90.000000,184.390023,56.521990,50.060481,113.618987,47.094166,9.747742
91.000000,185.211541,56.733928,50.280231,114.163180,47.276360,9.766369
92.000000,186.025948,56.947771,50.494493,114.698573,47.456624,9.786642
93.000000,186.870608,57.172701,50.712355,115.245303,47.641464,9.810865
94.000000,187.718808,57.402617,50.926908,115.789259,47.826428,9.832268
95.000000,188.563297,57.633235,51.135934,116.322767,48.009721,9.854110
96.000000,189.437097,57.876204,51.347784,116.867007,48.199356,9.876445
97.000000,190.302100,58.117978,51.552892,117.398655,48.385383,9.899325
98.000000,191.197016,58.371497,51.760886,117.940192,48.578168,9.921515
99.000000,192.096741,58.628764,51.966093,118.478955,48.771324,9.945802
100.000000,192.992367,58.887527,52.166015,119.011013,48.962427,9.974563
101.000000,193.915635,59.157986,52.369528,119.556109,49.160602,10.000788
102.000000,194.830890,59.427531,52.565755,120.089630,49.355280,10.027838
103.000000,195.773415,59.708859,52.765651,120.636441,49.557642,10.055756
104.000000,196.724723,59.993519,52.962456,121.181947,49.760807,10.084583
105.000000,197.667491,60.278724,53.153958,121.720652,49.962009,10.112964
106.000000,198.645086,60.575530,53.349750,122.274429,50.170572,10.143901
107.000000,199.607686,60.870491,53.538476,122.818465,50.376223,10.175825
108.000000,200.600535,61.176933,53.731371,123.379069,50.588739,10.212233
109.000000,201.601618,61.486237,53.921548,123.941635,50.802317,10.246719
110.000000,202.593344,61.795032,54.107433,124.498616,51.015253,10.282328
111.000000,203.621210,62.114400,54.298556,125.073297,51.235638,10.319079
112.000000,204.649733,62.436548,54.487535,125.648854,51.457300,10.356989
113.000000,205.675291,62.759144,54.674204,126.225955,51.679439,10.394533
114.000000,206.717375,63.089157,54.862931,126.813653,51.905826,10.434990
115.000000,207.752272,63.416663,55.048007,127.399923,52.131688,10.480144
116.000000,208.818438,63.754734,55.239307,128.007054,52.364749,10.523430
117.000000,209.887291,64.093179,55.429829,128.619520,52.599305,10.567933
118.000000,210.955489,64.431645,55.619139,129.233334,52.834760,10.613651
119.000000,212.040509,64.774627,55.812642,129.863063,53.074918,10.660576
120.000000,213.118267,65.115608,56.003101,130.490567,53.314086,10.707098
121.000000,214.228285,65.464586,56.201707,131.143781,53.561680,10.756608
122.000000,215.344447,65.812973,56.400197,131.804670,53.810539,10.811027
123.000000,216.454352,66.161703,56.598766,132.464998,54.059860,10.863339
124.000000,217.586837,66.513354,56.801836,133.144757,54.314264,10.916811
125.000000,218.707421,66.862449,57.004077,133.820783,54.567395,10.971419
126.000000,219.861787,67.219538,57.215166,134.524084,54.829043,11.027138
127.000000,221.017616,67.575500,57.428212,135.231378,55.091814,11.082343
128.000000,222.164874,67.928289,57.640705,135.939638,55.353274,11.140400
129.000000,223.341851,68.288627,57.862630,136.670279,55.622930,11.203203
130.000000,224.506893,68.642846,58.082635,137.397517,55.889365,11.263750
131.000000,225.699514,69.004520,58.312940,138.149583,56.164435,11.325280
132.000000,226.897899,69.364787,58.546397,138.907113,56.440540,11.387757
133.000000,228.089903,69.720617,58.780209,139.665017,56.714698,11.451143
134.000000,229.317897,70.085349,59.025697,140.447939,56.997249,11.515399
135.000000,230.528655,70.442278,59.269185,141.224654,57.275983,11.578862
136.000000,231.778623,70.808156,59.524824,142.027418,57.562340,11.644940
137.000000,233.029429,71.171986,59.783586,142.834310,57.849296,11.715310
138.000000,234.274657,71.531690,60.043426,143.639885,58.134839,11.783289
139.000000,235.556509,71.899442,60.314151,144.469620,58.428493,11.851952
140.000000,236.826330,72.260416,60.584551,145.292792,58.717979,11.921258
141.000000,238.129370,72.629888,60.865828,146.141035,59.014618,11.991161
142.000000,239.438833,72.998730,61.151538,146.996568,59.310750,12.059933
143.000000,240.745562,73.362620,61.438487,147.844656,59.605236,12.131112
144.000000,242.090841,73.736420,61.737548,148.720745,59.906605,12.206411
145.000000,243.443180,74.107869,62.039857,149.601871,60.207693,12.278942
146.000000,244.799716,74.478679,62.345213,150.478226,60.508368,12.351876
147.000000,246.183299,74.852141,62.658044,151.372497,60.811580,12.425167
148.000000,247.561350,75.223536,62.972039,152.259135,61.112522,12.498772
149.000000,248.988679,75.603149,63.297323,153.168813,61.420213,12.570848
150.000000,250.423965,75.983854,63.625405,154.081530,61.727411,12.645174
151.000000,251.860550,76.363417,63.956278,154.993007,62.033076,12.719641
152.000000,253.324580,76.749223,64.293425,155.919809,62.341292,12.798099
153.000000,254.786977,77.130829,64.631511,156.840808,62.646132,12.873275
154.000000,256.292572,77.523111,64.980020,157.788198,62.957013,12.948518
155.000000,257.811563,77.915206,65.331489,158.741068,63.265743,13.023782
156.000000,259.334851,78.306770,65.683984,159.687032,63.573525,13.099018
157.000000,260.892901,78.704639,66.042948,160.650997,63.881859,13.172272
158.000000,262.445292,79.099132,66.400622,161.606533,64.187632,13.247555
159.000000,264.048693,79.505217,66.768120,162.587964,64.498066,13.326101
160.000000,265.660371,79.911472,67.136714,163.572474,64.807686,13.401424
161.000000,267.267835,80.314180,67.503857,164.551606,65.112755,13.476499
162.000000,268.925051,80.728202,67.880917,165.554661,65.424097,13.551278
163.000000,270.571469,81.136438,68.252887,166.548851,65.727959,13.625710
164.000000,272.270378,81.556227,68.635651,167.567688,66.037457,13.697747
165.000000,273.988385,81.977372,69.019313,168.590563,66.343453,13.771590
166.000000,275.693235,82.394630,69.398722,169.610328,66.645422,13.848379
167.000000,277.451276,82.823210,69.787565,170.654670,66.952177,13.921600
